# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
     Ariel 1.350000e+21 2.877185e+12 1.694737e+08 6.507339e-13 -5.489944e+02 1.248301e+04 5.165219e-17
   Umbriel 1.170000e+21 2.876914e+12 -1.013786e+08 6.509542e-13 4.449945e+03 5.240040e+03 5.166887e-17
   Titania 3.420000e+21 2.876989e+12 -2.877900e+08 6.508992e-13 3.648581e+03 6.710763e+03 5.166465e-17
    Oberon 3.000000e+21 2.877311e+12 6.389504e+08 6.506047e-13 -2.665290e+03 8.486212e+03 5.164231e-17
    Triton 2.140000e+22 4.502792e+12 -1.679126e+08 1.674437e-13 3.564255e+03 2.823639e+03 1.329025e-17
Asteroid_1 9.550021e+17 3.714104e+10 -3.103372e+10 8.597412e+08 3.358179e+04 4.018957e+04 -1.603895e+01

# Step 6, Time: 2.160000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.022400e+02 5.660416e-02 1.753195e-07 7.099995e-03 5.902006e-06 1.217488e-11
   Mercury 3.301000e+23 5.788563e+10 1.206238e+09 3.517589e-07 -9.978508e+02 4.786109e+04 2.451160e-11
     Venus 4.867000e+24 1.081959e+11 8.824944e+08 4.139461e-08 -2.857354e+02 3.501900e+04 2.887795e-12
     Earth 5.972000e+24 1.495979e+11 7.504429e+08 1.230873e-08 -1.490042e+02 2.977899e+04 8.575729e-13
      Mars 6.417000e+23 2.278991e+11 6.080753e+08 2.729531e-09 -6.440088e+01 2.412993e+04 1.899337e-13
   Jupiter 1.898000e+27 7.784999e+11 3.293567e+08 4.858497e-11 -4.726519e+00 1.306959e+04 3.375735e-15
    Saturn 5.683000e+26 1.433000e+12 2.439339e+08 7.299957e-12 -1.637477e+00 9.679849e+03 5.070874e-16
    Uranus 8.681000e+25 2.877000e+12 1.713591e+08 8.678438e-13 -3.464497e-01 6.799948e+03 6.027612e-17
   Neptune 1.024000e+26 4.503000e+12 1.368332e+08 2.232271e-13 -3.633592e-01 5.429793e+03 1.550352e-17
      Moon 7.342000e+22 1.498252e+11 4.411214e+08 1.227163e-08 6.750024e+02 3.038503e+04 8.549098e-13
    Phobos 1.070000e+16 2.279147e+11 6.126031e+08 2.729394e-09 -3.410306e+02 2.533633e+04 1.899150e-13
    Deimos 1.480000e+15 2.279198e+11 6.141107e+08 2.729182e-09 -2.906142e+02 2.559596e+04 1.899034e-13
        Io 8.930000e+22 7.788920e+11 2.691619e+08 4.854670e-11 3.733965e+03 3.112715e+04 3.372695e-15
    Europa 4.800000e+22 7.791587e+11 3.102353e+08 4.847095e-11 4.966613e+02 2.705194e+04 3.367744e-15
  Ganymede 1.480000e+23 7.785766e+11 1.391645e+09 4.852367e-11 -1.090719e+04 1.386570e+04 3.372017e-15
  Callisto 1.080000e+23 7.773689e+11 1.831550e+09 4.876967e-11 -6.561635e+03 8.133083e+03 3.388909e-15
     Titan 1.345000e+23 1.433278e+12 -9.448960e+08 7.297570e-12 5.427448e+03 1.094829e+04 5.069000e-16
      Rhea 2.310000e+21 1.432712e+12 6.782857e+08 7.302100e-12 -7.167575e+03 4.964932e+03 5.072660e-16
   Iapetus 1.810000e+21 1.429671e+12 -1.017374e+09 7.353135e-12 1.153660e+03 6.631438e+03 5.107773e-16
