# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.434611e+05 1.925883e+05 2.393531e-09 1.222911e+01 1.035832e+01 1.662174e-13
   Mercury 3.301000e+23 5.788563e+10 1.206238e+09 8.296552e-10 -9.978540e+02 4.786109e+04 5.757841e-14
     Venus 4.867000e+24 1.081959e+11 8.824944e+08 4.048357e-10 -2.857359e+02 3.501900e+04 2.811180e-14
     Earth 5.972000e+24 1.495978e+11 7.504529e+08 2.474089e-10 -1.494741e+02 2.977968e+04 1.718303e-14
      Mars 6.417000e+23 2.278991e+11 6.080753e+08 1.152914e-10 -6.440090e+01 2.412993e+04 8.008087e-15
   Jupiter 1.898000e+27 7.784999e+11 3.293640e+08 6.516473e-12 -5.517580e+00 1.307000e+04 4.526084e-16
    Saturn 5.683000e+26 1.433000e+12 2.439360e+08 1.244877e-12 -1.636480e+00 9.680000e+03 8.645895e-17
    Uranus 8.681000e+25 2.877000e+12 1.713600e+08 1.714093e-13 -4.052884e-01 6.800000e+03 1.190411e-17
   Neptune 1.024000e+26 4.503000e+12 1.368360e+08 4.650244e-14 -1.653701e-01 5.430000e+03 3.229458e-18
      Moon 7.342000e+22 -8.118241e+10 2.571971e+07 4.482674e-09 -3.235481e+06 1.020212e+03 4.163784e-13
    Phobos 1.070000e+16 -1.369377e+14 5.387760e+07 5.982751e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -2.188387e+13 3.404520e+07 5.981391e-10 -8.684084e+08 1.351000e+03 2.373602e-14
        Io 8.930000e+22 -6.714294e+10 4.354018e+08 3.921861e-09 -2.679246e+06 1.726533e+04 3.456236e-13
    Europa 4.800000e+22 -2.473768e+10 3.258428e+08 2.786550e-09 -9.931438e+05 1.270890e+04 2.098171e-13
  Ganymede 1.480000e+23 4.479782e+10 -4.633195e+09 2.279218e-09 2.090629e+06 -2.159625e+05 1.379557e-13
  Callisto 1.080000e+23 -2.036609e+12 -2.868432e+12 4.965007e-07 -1.131465e+08 -1.593596e+08 2.756957e-11
     Titan 1.345000e+23 -1.885214e+12 -5.390215e+11 5.897757e-08 -8.728164e+07 -2.495563e+07 2.727571e-12
      Rhea 2.310000e+21 -4.241795e+10 2.114692e+08 3.182390e-09 -1.699267e+06 8.366125e+03 2.555023e-13
   Iapetus 1.810000e+21 -5.785502e+09 -1.645919e+08 2.637110e-09 -8.874093e+05 -2.726463e+04 2.079978e-13
     Dione 1.100000e+21 -8.424943e+10 2.557241e+08 4.602251e-09 -3.357004e+06 1.014412e+04 4.311585e-13
    Tethys 6.170000e+20 -1.380571e+11 2.859444e+08 7.072557e-09 -5.489728e+06 1.134609e+04 6.888294e-13
 Enceladus 1.080000e+20 -2.123598e+11 3.117017e+08 8.339731e-09 -8.436236e+06 1.236885e+04 6.398955e-13
     Mimas 3.750000e+19 -3.479190e+11 3.578342e+08 7.341177e-09 -1.381362e+07 1.419970e+04 4.290547e-13
   Miranda 6.590000e+19 -7.235789e+11 1.673277e+08 5.126344e-09 -2.871855e+07 6.639985e+03 2.409765e-13
     Ariel 1.350000e+21 -3.299265e+11 1.401093e+08 7.525574e-09 -1.309983e+07 5.559863e+03 4.503897e-13
   Umbriel 1.170000e+21 -1.699183e+11 1.174155e+08 8.000460e-09 -6.753060e+06 4.659146e+03 7.090388e-13
   Titania 3.420000e+21 -6.273754e+10 9.145202e+07 3.780889e-09 -2.504713e+06 3.625807e+03 3.282379e-13
    Oberon 3.000000e+21 -3.418432e+10 7.772201e+07 2.988079e-09 -1.371953e+06 3.065585e+03 2.328152e-13
    Triton 2.140000e+22 -9.512950e+10 1.105366e+08 5.103839e-09 -3.788140e+06 4.385283e+03 4.936041e-13
Asteroid_1 2.870850e+16 -1.065723e+11 -6.292854e+10 6.553486e+09 1.665151e+04 -2.820189e+04 -1.170371e+01

# Step 7, Time: 2.520000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.874894e+05 2.298783e+05 3.077396e-09 1.223010e+01 1.035832e+01 1.899626e-13
   Mercury 3.301000e+23 5.788153e+10 1.378528e+09 1.066478e-09 -1.140388e+03 4.785812e+04 6.578396e-14
